Escola,Etapa,Ano,Matemática,Língua Portuguesa,N,P,Aprovação Geral,1º,2º,3º,4º,5º,6º,7º,8º,9º,IDEB,Meta IDEB,Origem Meta,Diferença para Meta,Situação Meta,Nível Matemática,Nível Língua Portuguesa,Padrão Matemática,Padrão Língua Portuguesa
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2005,189.77,188.72,5.016861,0.892924,89.3,,93.7,86.8,84.3,93.1,,,,,4.5,,,,,3,3,Abaixo do básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2007,191.47,174.61,4.792788,0.894633,89.7,100.0,79.7,87.4,89.8,92.9,,,,,4.3,4.5,Original,-0.20000000000000018,Abaixo da meta,3,2,Abaixo do básico,Abaixo do básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2009,225.64,204.41,5.986705,0.914079,92.6,97.6,83.7,90.4,88.8,98.2,,,,,5.5,4.9,Original,0.5999999999999996,Acima da meta,5,4,Básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2011,227.55,205.98,6.051701,0.902971,90.1,96.9,85.4,87.9,88.9,93.3,,,,,5.5,5.3,Original,0.20000000000000018,Acima da meta,5,4,Básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2013,236.13,220.55,6.48035,0.940563,93.9,100.0,92.1,93.1,94.7,90.9,,,,,6.1,5.5,Original,0.5999999999999996,Acima da meta,5,4,Básico,Adequado
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2015,226.81,216.57,6.230124,0.964942,96.9,100.0,100.0,89.1,100.0,94.4,,,,,6.0,5.8,Original,0.20000000000000018,Acima da meta,5,4,Básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2017,231.03,224.39,6.45284,0.946075,95.3,100.0,100.0,89.1,93.9,91.1,,,,,6.1,6.1,Original,0.0,Atingiu a meta,5,4,Básico,Adequado
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2019,248.38,224.71,6.789765,0.963213,96.1,98.5,95.7,92.0,95.8,100.0,,,,,6.5,6.3,Original,0.20000000000000018,Acima da meta,5,4,Adequado,Adequado
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2021,227.11,217.5,6.252759,0.993642,99.4,100.0,96.9,100.0,100.0,100.0,,,,,6.2,6.5,Original,-0.2999999999999998,Abaixo da meta,5,4,Básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2023,233.31,218.22,6.38417,0.979446,98.2,100.0,98.6,98.6,98.2,94.5,,,,,6.3,6.5,Referência 2021,-0.20000000000000018,Abaixo da meta,5,4,Básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental I,2025,236.58,205.38,,0.958396,96.3,97.9,88.0,97.3,98.4,98.5,,,,,6.0,6.5,Referência 2021,-0.5,Abaixo da meta,5,4,Básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental II,2005,,,,,,,,,,,,,,,,,,,,,,,
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental II,2007,,,,,,,,,,,,,,,,,Original,,,,,,
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental II,2009,,,,,,,,,,,,,,,,,Original,,,,,,
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental II,2011,,,,,,,,,,,,,,,,,Original,,,,,,
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental II,2013,264.62,243.75,5.1395,0.917235,91.5,,,,,,91.1,87.5,91.7,97.1,4.7,,Original,,,3,2,Básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental II,2015,266.4,261.08,5.458,0.89229,89.1,,,,,,88.5,85.4,88.9,94.6,4.9,5.0,Original,-0.09999999999999964,Abaixo da meta,3,3,Básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental II,2017,281.8,284.54,6.105667,0.925274,92.5,,,,,,86.8,94.1,97.8,92.1,5.6,5.2,Original,0.39999999999999947,Acima da meta,4,4,Básico,Adequado
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental II,2019,277.75,267.78,5.758833,0.912093,91.5,,,,,,86.8,89.1,90.0,100.0,5.3,5.4,Original,-0.10000000000000053,Abaixo da meta,4,3,Básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental II,2021,269.03,274.73,5.729333,0.987299,98.6,,,,,,96.6,98.4,100.0,100.0,5.7,5.7,Original,0.0,Atingiu a meta,3,3,Básico,Adequado
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental II,2023,262.73,244.95,5.128,0.991541,99.1,,,,,,96.7,100.0,100.0,100.0,5.1,5.7,Referência 2021,-0.6000000000000005,Abaixo da meta,3,2,Básico,Básico
AGENOR LINO DE MATOS DEPUTADO EMEF,Fundamental II,2025,249.7,239.61,,0.9877,98.8,,,,,,98.3,98.4,100.0,98.4,4.8,5.7,Referência 2021,-0.9000000000000004,Abaixo da meta,2,2,Básico,Básico
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental I,2005,,,,,,,,,,,,,,,,,,,,,,,
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental I,2007,,,,,,,,,,,,,,,,,Original,,,,,,
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental I,2009,216.39,201.16,5.751087,0.940625,93.0,100.0,92.6,94.1,,90.1,,,,,5.4,,Original,,,4,4,Básico,Básico
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental I,2011,230.11,217.1,6.302738,0.9428,94.1,98.7,92.8,90.4,95.3,94.6,,,,,5.9,5.7,Original,0.20000000000000018,Acima da meta,5,4,Básico,Básico
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental I,2013,232.85,216.56,6.34521,0.938099,94.2,100.0,91.6,90.1,96.8,91.3,,,,,6.0,5.9,Original,0.09999999999999964,Acima da meta,5,4,Básico,Básico
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental I,2015,227.5,222.33,6.348019,0.962912,96.3,98.2,98.1,94.4,93.1,97.9,,,,,6.1,6.2,Original,-0.10000000000000053,Abaixo da meta,5,4,Básico,Adequado
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental I,2017,236.16,239.26,6.821105,0.95803,95.7,98.2,98.9,92.6,92.7,97.0,,,,,6.5,6.4,Original,0.09999999999999964,Acima da meta,5,5,Básico,Adequado
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental I,2019,,,,0.977422,97.7,100.0,96.5,98.3,96.4,97.6,,,,,,6.6,Original,,,,,,
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental I,2021,241.78,246.22,7.054902,1.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,7.1,6.9,Original,0.1999999999999993,Acima da meta,5,5,Básico,Adequado
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental I,2023,230.45,228.72,6.520499,0.949029,95.1,100.0,94.9,94.6,89.0,96.7,,,,,6.2,6.9,Referência 2021,-0.7000000000000002,Abaixo da meta,5,5,Básico,Adequado
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental I,2025,237.98,228.36,,0.989099,98.9,99.1,95.6,100.0,100.0,100.0,,,,,6.6,6.9,Referência 2021,-0.3000000000000007,Abaixo da meta,5,5,Básico,Adequado
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental II,2005,256.57,242.69,4.987625,0.867678,86.8,,,,,,88.8,86.0,84.5,87.9,4.3,,,,,3,2,Básico,Básico
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental II,2007,255.15,243.13,4.971333,0.89586,89.5,,,,,,87.7,89.8,86.4,94.9,4.5,4.4,Original,0.09999999999999964,Acima da meta,3,2,Básico,Básico
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental II,2009,270.25,270.54,5.679833,0.910828,91.3,,,,,,86.3,89.5,93.5,95.6,5.2,4.5,Original,0.7000000000000002,Acima da meta,3,3,Básico,Básico
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental II,2011,286.05,276.29,6.039,0.920291,92.5,,,,,,90.3,94.0,91.3,92.6,5.6,4.8,Original,0.7999999999999998,Acima da meta,4,4,Básico,Adequado
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental II,2013,256.9,246.06,5.049333,0.887886,90.1,,,,,,85.0,96.5,82.4,92.7,4.5,5.2,Original,-0.7000000000000002,Abaixo da meta,3,2,Básico,Básico
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental II,2015,270.84,267.73,5.642833,0.915962,91.7,,,,,,90.6,88.8,89.3,98.3,5.2,5.5,Original,-0.2999999999999998,Abaixo da meta,3,3,Básico,Básico
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental II,2017,277.14,280.3,5.957333,0.910416,91.3,,,,,,93.2,85.3,90.1,96.3,5.4,5.8,Original,-0.39999999999999947,Abaixo da meta,4,4,Básico,Adequado
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental II,2019,272.07,257.01,5.484667,0.959531,95.8,,,,,,93.8,95.8,96.5,97.8,5.3,6.0,Original,-0.7000000000000002,Abaixo da meta,3,3,Básico,Básico
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental II,2021,271.18,279.89,5.851167,1.0,100.0,,,,,,100.0,100.0,100.0,100.0,5.9,6.2,Original,-0.2999999999999998,Abaixo da meta,3,4,Básico,Adequado
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental II,2023,272.05,287.25,5.988333,0.954556,95.5,,,,,,97.6,96.7,89.9,98.1,5.7,6.2,Referência 2021,-0.5,Abaixo da meta,3,4,Básico,Adequado
ALCINO FRANCISCO DE SOUZA PROF EMEF,Fundamental II,2025,273.95,278.01,,0.983912,98.4,,,,,,100.0,98.1,97.7,97.8,5.8,6.2,Referência 2021,-0.40000000000000036,Abaixo da meta,3,4,Básico,Adequado
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental I,2005,185.33,187.91,4.917406,0.927947,92.9,,93.8,90.7,91.8,95.0,,,,,4.6,,,,,3,3,Abaixo do básico,Básico
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental I,2007,203.86,183.77,5.195783,0.933632,92.8,100.0,96.4,88.1,93.4,89.9,,,,,4.9,4.6,Original,0.3000000000000007,Acima da meta,4,3,Abaixo do básico,Básico
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental I,2009,221.42,204.02,5.89908,0.902651,90.6,99.6,83.9,86.8,89.7,92.9,,,,,5.3,5.0,Original,0.2999999999999998,Acima da meta,4,4,Básico,Básico
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental I,2011,241.55,225.39,6.671786,0.930817,92.4,100.0,86.5,92.6,94.0,93.3,,,,,6.2,5.4,Original,0.7999999999999998,Acima da meta,5,5,Básico,Adequado
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental I,2013,231.28,216.55,6.315066,0.926958,92.8,100.0,92.4,85.7,97.2,89.6,,,,,5.9,5.6,Original,0.3000000000000007,Acima da meta,5,4,Básico,Básico
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental I,2015,240.27,225.73,6.65354,0.993096,99.3,99.2,100.0,97.4,100.0,100.0,,,,,6.6,5.9,Original,0.6999999999999993,Acima da meta,5,5,Básico,Adequado
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental I,2017,241.45,224.91,6.66115,0.933545,93.9,100.0,100.0,90.1,88.4,89.7,,,,,6.2,6.1,Original,0.10000000000000053,Acima da meta,5,4,Básico,Adequado
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental I,2019,243.05,233.42,6.846412,0.976311,97.8,100.0,97.0,95.3,96.9,99.1,,,,,6.7,6.4,Original,0.2999999999999998,Acima da meta,5,5,Básico,Adequado
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental I,2021,226.66,221.75,6.321443,1.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,6.3,6.6,Original,-0.2999999999999998,Abaixo da meta,5,4,Básico,Adequado
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental I,2023,238.18,222.77,6.559836,0.979208,97.9,100.0,99.2,95.0,99.3,96.3,,,,,6.4,6.6,Referência 2021,-0.1999999999999993,Abaixo da meta,5,4,Básico,Adequado
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental I,2025,235.23,221.24,,0.98216,98.2,97.5,99.1,98.4,98.6,97.5,,,,,6.4,6.6,Referência 2021,-0.1999999999999993,Abaixo da meta,5,4,Básico,Adequado
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental II,2005,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental II,2007,,,,,,,,,,,,,,,,,Original,,,,,,
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental II,2009,,,,,,,,,,,,,,,,,Original,,,,,,
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental II,2011,263.22,245.92,5.152333,0.853515,85.7,,,,,,86.1,83.3,80.8,92.0,4.4,,Original,,,3,2,Básico,Básico
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental II,2013,271.92,263.03,5.5825,0.876685,87.0,,,,,,87.0,82.1,89.2,93.1,4.9,4.6,Original,0.3000000000000007,Acima da meta,3,3,Básico,Básico
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental II,2015,285.29,278.0,6.054833,0.902059,89.8,,,,,,88.1,86.3,90.3,96.8,5.5,4.9,Original,0.5999999999999996,Acima da meta,4,4,Básico,Adequado
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental II,2017,277.47,273.88,5.855833,0.912423,91.6,,,,,,93.4,85.7,91.8,94.6,5.3,5.1,Original,0.20000000000000018,Acima da meta,4,3,Básico,Básico
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental II,2019,281.47,277.71,5.986333,0.991978,99.2,,,,,,98.9,98.9,99.0,100.0,5.9,5.4,Original,0.5,Acima da meta,4,4,Básico,Adequado
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental II,2021,278.53,275.2,5.8955,1.0,100.0,,,,,,100.0,100.0,100.0,100.0,5.9,5.6,Original,0.3000000000000007,Acima da meta,4,4,Básico,Adequado
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental II,2023,266.81,281.4,5.8035,0.977441,97.9,,,,,,95.4,97.0,98.7,100.0,5.7,5.6,Referência 2021,0.10000000000000053,Acima da meta,3,4,Básico,Adequado
ALEXANDRINO DA SILVEIRA BUENO PROF EMEF,Fundamental II,2025,268.69,270.09,,0.954432,95.4,,,,,,95.1,96.7,94.5,95.5,5.4,5.6,Referência 2021,-0.1999999999999993,Abaixo da meta,3,3,Básico,Básico
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental I,2005,,,,,,,,,,,,,,,,,,,,,,,
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental I,2007,,,,,,,,,,,,,,,,,Original,,,,,,
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental I,2009,,,,,,,,,,,,,,,,,Original,,,,,,
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental I,2011,221.39,211.17,6.028507,0.926451,93.1,98.5,82.8,90.4,95.1,98.4,,,,,5.6,,Original,,,4,4,Básico,Básico
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental I,2013,225.73,212.54,6.136241,0.951667,94.9,100.0,89.1,98.5,92.4,96.7,,,,,5.8,5.8,Original,0.0,Atingiu a meta,5,4,Básico,Básico
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental I,2015,218.89,210.42,5.967161,0.968703,97.1,100.0,100.0,93.3,98.8,92.8,,,,,5.8,6.1,Original,-0.2999999999999998,Abaixo da meta,4,4,Básico,Básico
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental I,2017,230.03,220.38,6.360847,0.968289,96.7,100.0,100.0,92.6,98.7,93.4,,,,,6.2,6.3,Original,-0.09999999999999964,Abaixo da meta,5,4,Básico,Adequado
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental I,2019,,,,,,,,,,,,,,,,6.5,Original,,,,,,
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental I,2021,,,,,,,,,,,,,,,,6.8,Original,,,,,,
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental I,2023,,,,,,,,,,,,,,,,6.8,Referência 2021,,,,,,
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental I,2025,,,,,,,,,,,,,,,,6.8,Referência 2021,,,,,,
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental II,2005,,,,,,,,,,,,,,,,,,,,,,,
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental II,2007,,,,,,,,,,,,,,,,,Original,,,,,,
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental II,2009,,,,,,,,,,,,,,,,,Original,,,,,,
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental II,2011,265.19,258.89,5.401333,0.888729,89.5,,,,,,90.4,91.7,88.9,84.8,4.8,,Original,,,3,3,Básico,Básico
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental II,2013,244.42,247.15,4.8595,0.903666,91.2,,,,,,95.5,83.6,85.7,98.4,4.4,5.0,Original,-0.5999999999999996,Abaixo da meta,2,2,Básico,Básico
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental II,2015,265.47,267.6,5.551167,0.885058,88.5,,,,,,82.5,86.9,91.7,93.8,4.9,5.3,Original,-0.39999999999999947,Abaixo da meta,3,3,Básico,Básico
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental II,2017,267.47,270.83,5.638333,0.952683,94.9,,,,,,88.8,96.6,96.4,100.0,5.4,5.5,Original,-0.09999999999999964,Abaixo da meta,3,3,Básico,Básico
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental II,2019,,,,,,,,,,,,,,,,5.8,Original,,,,,,
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental II,2021,,,,,,,,,,,,,,,,6.0,Original,,,,,,
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental II,2023,,,,,,,,,,,,,,,,6.0,Referência 2021,,,,,,
ALFREDO DO CARMO PROFESSOR EMEF,Fundamental II,2025,,,,,,,,,,,,,,,,6.0,Referência 2021,,,,,,
AMADOR AGUIAR EMEF,Fundamental I,2005,186.37,183.07,4.849233,0.920152,92.0,,95.5,92.3,88.9,91.6,,,,,4.5,,,,,3,3,Abaixo do básico,Básico
AMADOR AGUIAR EMEF,Fundamental I,2007,205.94,181.97,5.202751,0.944492,94.3,98.8,92.5,89.7,92.7,99.3,,,,,4.9,4.5,Original,0.40000000000000036,Acima da meta,4,3,Básico,Básico
AMADOR AGUIAR EMEF,Fundamental I,2009,202.96,184.19,5.186244,0.954929,95.4,100.0,93.7,92.6,95.2,96.3,,,,,5.0,4.9,Original,0.09999999999999964,Acima da meta,4,3,Abaixo do básico,Básico
AMADOR AGUIAR EMEF,Fundamental I,2011,222.15,206.38,5.95592,0.931821,93.0,99.0,90.9,93.4,94.9,88.4,,,,,5.5,5.3,Original,0.20000000000000018,Acima da meta,4,4,Básico,Básico
AMADOR AGUIAR EMEF,Fundamental I,2013,217.74,202.44,5.800124,0.921026,93.1,99.2,85.9,92.0,93.4,91.0,,,,,5.3,5.5,Original,-0.20000000000000018,Abaixo da meta,4,4,Básico,Básico
AMADOR AGUIAR EMEF,Fundamental I,2015,229.74,219.89,6.346404,0.938457,93.3,100.0,98.5,91.1,86.7,94.2,,,,,6.0,5.8,Original,0.20000000000000018,Acima da meta,5,4,Básico,Adequado
AMADOR AGUIAR EMEF,Fundamental I,2017,230.66,223.4,6.427779,0.942805,95.1,100.0,100.0,82.8,94.4,96.5,,,,,6.1,6.0,Original,0.09999999999999964,Acima da meta,5,4,Básico,Adequado
AMADOR AGUIAR EMEF,Fundamental I,2019,224.47,208.35,6.036013,0.984969,97.9,100.0,94.8,100.0,97.9,100.0,,,,,5.9,6.3,Original,-0.39999999999999947,Abaixo da meta,4,4,Básico,Básico
AMADOR AGUIAR EMEF,Fundamental I,2021,212.45,204.81,5.74226,1.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,5.7,6.5,Original,-0.7999999999999998,Abaixo da meta,4,4,Básico,Básico
AMADOR AGUIAR EMEF,Fundamental I,2023,213.94,214.79,5.95215,0.987157,98.8,100.0,100.0,100.0,99.1,94.7,,,,,5.9,6.5,Referência 2021,-0.5999999999999996,Abaixo da meta,4,4,Básico,Básico
AMADOR AGUIAR EMEF,Fundamental I,2025,217.53,200.24,,0.991947,99.1,100.0,98.9,98.1,100.0,99.0,,,,,5.7,6.5,Referência 2021,-0.7999999999999998,Abaixo da meta,4,4,Básico,Básico
AMADOR AGUIAR EMEF,Fundamental II,2005,,,,,,,,,,,,,,,,,,,,,,,
AMADOR AGUIAR EMEF,Fundamental II,2007,,,,,,,,,,,,,,,,,Original,,,,,,
AMADOR AGUIAR EMEF,Fundamental II,2009,,,,,,,,,,,,,,,,,Original,,,,,,
AMADOR AGUIAR EMEF,Fundamental II,2011,233.81,247.69,4.691667,0.846509,84.9,,,,,,83.0,81.3,81.3,94.3,4.0,,Original,,,2,2,Básico,Básico
AMADOR AGUIAR EMEF,Fundamental II,2013,254.16,246.86,5.017,0.932719,92.6,,,,,,90.2,97.1,89.7,96.6,4.7,4.2,Original,0.5,Acima da meta,3,2,Básico,Básico
AMADOR AGUIAR EMEF,Fundamental II,2015,255.21,253.8,5.150167,0.946069,94.4,,,,,,94.2,90.6,94.1,100.0,4.9,4.5,Original,0.40000000000000036,Acima da meta,3,3,Básico,Básico
AMADOR AGUIAR EMEF,Fundamental II,2017,,,,0.962058,96.2,,,,,,98.7,94.8,93.7,97.8,,4.7,Original,,,,,,
AMADOR AGUIAR EMEF,Fundamental II,2019,269.11,271.2,5.671833,0.987139,98.8,,,,,,97.1,99.0,98.8,100.0,5.6,5.0,Original,0.5999999999999996,Acima da meta,3,3,Básico,Básico
AMADOR AGUIAR EMEF,Fundamental II,2021,,,,1.0,100.0,,,,,,100.0,100.0,100.0,100.0,,5.2,Original,,,,,,
AMADOR AGUIAR EMEF,Fundamental II,2023,243.98,247.3,4.854667,0.965946,96.7,,,,,,97.7,95.9,96.0,96.8,4.7,5.2,Referência 2021,-0.5,Abaixo da meta,2,2,Básico,Básico
AMADOR AGUIAR EMEF,Fundamental II,2025,245.68,249.65,,0.981084,98.1,,,,,,96.8,97.1,98.6,100.0,4.8,5.2,Referência 2021,-0.40000000000000036,Abaixo da meta,2,2,Básico,Básico
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental I,2005,,,,,,,,,,,,,,,,,,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental I,2007,,,,,,,,,,,,,,,,,Original,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental I,2009,,,,,,,,,,,,,,,,,Original,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental I,2011,,,,,,,,,,,,,,,,,Original,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental I,2013,,,,,,,,,,,,,,,,,Original,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental I,2015,,,,,,,,,,,,,,,,,Original,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental I,2017,,,,,,,,,,,,,,,,,Original,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental I,2019,,,,,,,,,,,,,,,,,Original,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental I,2021,,,,,,,,,,,,,,,,,Original,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental I,2023,,,,,,,,,,,,,,,,,Referência 2021,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental I,2025,235.14,229.97,,0.974571,97.6,99.1,96.9,98.6,94.9,97.9,,,,,6.5,,Referência 2021,,,5,5,Básico,Adequado
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental II,2005,,,,,,,,,,,,,,,,,,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental II,2007,,,,,,,,,,,,,,,,,Original,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental II,2009,,,,,,,,,,,,,,,,,Original,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental II,2011,,,,,,,,,,,,,,,,,Original,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental II,2013,,,,,,,,,,,,,,,,,Original,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental II,2015,,,,,,,,,,,,,,,,,Original,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental II,2017,,,,,,,,,,,,,,,,,Original,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental II,2019,,,,,,,,,,,,,,,,,Original,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental II,2021,,,,,,,,,,,,,,,,,Original,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental II,2023,,,,,,,,,,,,,,,,,Referência 2021,,,,,,
ANNA IRENE MAZARO DE FREITAS EMEIEF,Fundamental II,2025,245.97,254.06,,0.983382,98.3,,,,,,98.0,100.0,97.0,98.4,4.9,,Referência 2021,,,2,3,Básico,Básico
ARISTIDES DA COSTA E SILVA PROF EMEF,Fundamental I,2005,189.93,186.83,4.985662,0.873512,86.9,,91.2,84.8,90.9,83.1,,,,,4.4,,,,,3,3,Abaixo do básico,Básico
ARISTIDES DA COSTA E SILVA PROF EMEF,Fundamental I,2007,210.5,189.5,5.426683,0.914133,94.0,99.5,78.5,93.5,90.5,98.4,,,,,5.0,4.4,Original,0.5999999999999996,Acima da meta,4,3,Básico,Básico
ARISTIDES DA COSTA E SILVA PROF EMEF,Fundamental I,2009,214.29,190.46,5.516466,0.888476,88.9,97.8,83.2,86.6,89.1,88.8,,,,,4.9,4.8,Original,0.10000000000000053,Acima da meta,4,3,Básico,Básico
ARISTIDES DA COSTA E SILVA PROF EMEF,Fundamental I,2011,227.01,208.79,6.092486,0.942462,94.2,100.0,93.7,91.2,92.5,94.3,,,,,5.7,5.2,Original,0.5,Acima da meta,5,4,Básico,Básico
ARISTIDES DA COSTA E SILVA PROF EMEF,Fundamental I,2013,202.52,189.58,5.275847,0.922728,92.1,98.5,91.3,94.0,92.0,86.4,,,,,4.9,5.4,Original,-0.5,Abaixo da meta,4,3,Abaixo do básico,Básico
ARISTIDES DA COSTA E SILVA PROF EMEF,Fundamental I,2015,226.01,219.67,6.271221,0.951627,94.8,100.0,96.2,94.7,92.3,93.0,,,,,6.0,5.7,Original,0.2999999999999998,Acima da meta,5,4,Básico,Adequado
ARISTIDES DA COSTA E SILVA PROF EMEF,Fundamental I,2017,231.11,229.97,6.555822,0.941833,94.7,98.8,100.0,84.5,95.5,93.8,,,,,6.2,5.9,Original,0.2999999999999998,Acima da meta,5,5,Básico,Adequado
ARISTIDES DA COSTA E SILVA PROF EMEF,Fundamental I,2019,241.55,232.54,6.801786,0.955433,95.4,100.0,93.2,92.3,96.3,96.3,,,,,6.5,6.2,Original,0.2999999999999998,Acima da meta,5,5,Básico,Adequado
